title,release_date,genres,original_language,vote_average,vote_count,popularity,budget,production_companies,revenue,runtime,profit
Berserk: The Golden Age Arc II - The Battle for Doldrey,2012-06-23,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Animation']",Japanese,7.5,308,148.902,0,"['Beyond C.', 'Graphinica', 'STUDIO4℃']",0,98,0
Hacksaw Ridge,2016-10-07,"['Drama', 'History', 'War']",English,8.2,12221,121.525,40000000,"['Vendian Entertainment', 'Summit Entertainment', 'Cross Creek Pictures', 'IM Global', 'Screen Australia', 'Screen NSW', 'Permut Presentations', 'Pandemonium', 'Demarest Films', 'Lionsgate']",175302354,139,135302354
The Next 365 Days,2022-08-19,"['Romance', 'Drama']",Polish,6.5,728,156.333,0,"['Ekipa Sp. z o.o.', 'Future Space', 'Next Film', 'TVN']",0,112,0
Shark Bait,2022-05-13,"['Horror', 'Thriller', 'Action', 'Adventure']",English,5.8,230,121.987,0,"['Altitude Film Sales', 'Ingenious Media']",0,87,0
Stand by Me Doraemon,2014-08-08,"['Animation', 'Family', 'Science Fiction', 'Fantasy']",Japanese,7.3,417,235.204,35000000,"['TOHO', 'Shirogumi', 'Robot Communications', 'Shin-Ei Animation']",83061158,90,48061158
Big Trip 2: Special Delivery,2022-10-07,"['Animation', 'Family', 'Adventure', 'Comedy']",Russian,6.6,62,166.831,0,"['Licensing Brands', 'Luminescence']",0,90,0
Venom: Let There Be Carnage,2021-09-30,"['Science Fiction', 'Action', 'Adventure']",English,6.9,8762,137.937,110000000,"['Marvel Entertainment', 'Columbia Pictures', 'Pascal Pictures', 'Matt Tolmach Productions', 'Avi Arad Productions', 'Sony Pictures']",506863592,97,396863592
Disenchanted,2022-11-18,"['Comedy', 'Family', 'Fantasy']",English,6.9,822,126.299,0,"['Walt Disney Pictures', 'Josephson Entertainment', 'Right Coast']",0,120,0
Bullet Train,2022-07-03,"['Action', 'Comedy', 'Thriller']",English,7.5,4129,142.578,90000000,"['87North Productions', 'Columbia Pictures']",239268602,126,149268602
Godzilla vs. Kong,2021-03-24,"['Action', 'Fantasy', 'Science Fiction']",English,7.7,8759,143.923,200000000,['Legendary Pictures'],470116094,114,270116094
Harry Potter and the Philosopher's Stone,2001-11-16,"['Adventure', 'Fantasy']",English,7.9,24703,144.983,125000000,"['Warner Bros. Pictures', 'Heyday Films', '1492 Pictures']",976475550,152,851475550
After Ever Happy,2022-08-24,"['Romance', 'Drama']",English,6.8,841,133.273,0,"['Voltage Pictures', 'Wattpad', 'Vertical Entertainment', 'Ethea Entertainment', 'CalMaple Films']",12467270,95,12467270
One More Time,2023-04-21,"['Comedy', 'Drama']",Swedish,6.0,37,145.273,0,['Breakable Films'],0,85,0
Death's Roulette,2023-05-05,"['Thriller', 'Mystery', 'Drama']",Spanish,6.5,34,163.899,0,"['VIS', '11:11 Films & TV']",0,90,0
Detective Knight: Independence,2023-01-20,"['Action', 'Crime', 'Thriller']",English,5.5,114,144.669,0,"['Arcana Studio', '308 Enterprises', 'BondIt Media Capital', 'Buffalo 8']",0,92,0
